Año,Mes,Día,Hora,Lugar,Latitud,Longitud,Vehículo 1 - fase,Vehículo 1 - tipo,Vehículo 1 - experimental,Vehículo 1 - marca,Vehículo 1 - modelo,Vehículo 1 - matricula,Vehículo 1 - suceso,Vehículo 1 - investigacion,Vehículo 1 - operacion,Vehículo 1 - daños,Vehículo 1 - categoria,Vehículo 2 - fase,Vehículo 2 - tipo,Vehículo 2 - experimental,Vehículo 2 - marca,Vehículo 2 - modelo,Vehículo 2 - matricula,Vehículo 2 - suceso,Vehículo 2 - investigacion,Vehículo 2 - operacion,Vehículo 2 - daños,Vehículo 2 - categoria
2024,12,22,10:00:00,Localidad Pocho (Cordoba),-31.424722222222226,-65.14083333333333,Maniobras,Avión,False,PIPER,PA-25-235,LV-CTM,Accidente,True,Specialised Operations,De importancia,LALT (Low altitude operations),,,,,,,,,,,
2024,12,20,21:56:00,Aeródromo Villa Mercedes (San Luis),-33.6425,-65.42083333333333,Crucero,Avión,False,TECNAM,P-92,LV-S130,Incidente,True,Non-Commercial Operations,Leves,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,12,18,16:19:00,Aeropuerto San Fernando (Buenos Aires),-34.447222222222216,-58.58111111111111,Aterrizaje,Avión,False,BOMBARDIER,BD-100-1A10,LV-GOK,Accidente,True,Non-Commercial Operations,Destruida,"F-POST (Fire/smoke Post-Impact), RE (Runway Excursion)",,,,,,,,,,,
2024,12,15,20:30:00,Aeródromo Pergamino (Buenos Aires),-33.92027777777778,-60.64805555555556,Aproximación,Planeador,False,PZL,PW-5,LV-EMI,Accidente,True,Non-Commercial Operations,Destruida,LOC-I (Loss of control - inflight),,,,,,,,,,,
2024,12,14,15:24:00,Aeropuerto Comodoro Rivadavia (Chubut),-45.78944444444444,-67.47611111111111,Estacionado,Avión,False,EMBRAER,ERJ190100IGW,LV-CHS,Incidente,True,Commercial Air Transport,Leves,RAMP (Ground Handling),,,,,,,,,,,
2024,12,12,21:50:00,Zona rural Loberia (Buenos Aires),-38.14416666666666,-58.74722222222222,Despegue,Avión,False,AIR TRACTOR,AT-502-B,LV-WZX,Accidente,True,Specialised Operations,Destruida,LOC-I (Loss of control - inflight),,,,,,,,,,,
2024,12,11,21:30:00,Aeropuerto Comodoro Rivadavia (Chubut),-45.78527777777778,-67.46555555555555,Crucero,Avión,False,BOEING,737-8SH,LV-GFQ,Incidente,True,Commercial Air Transport,Ninguno,F-NI (Fire/smoke non-impact),,,,,,,,,,,
2024,12,5,03:48:00,Aeropuerto El Plumerillo (Mendoza),-32.83166666666667,-68.79277777777777,Estacionado,Avión,False,BOEING,B-737,HP1828CMP,Incidente,True,Commercial Air Transport,Leves,RAMP (Ground Handling),,,,,,,,,,,
2024,12,4,20:30:00,"Exterior Departamento Artigas (República Oriental Del Uruguay, Uruguay)",-30.538611111111116,-57.809444444444445,Maniobras,Avión,False,PIPER,PA-25-235,CX-BAZ,Accidente,True,Specialised Operations,Destruida,LOC-I (Loss of control - inflight),,,,,,,,,,,
2024,12,2,06:30:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.82222222222222,-58.53583333333333,Rodaje salida,Avión,False,BOEING,737-86J,EC-MUB,Incidente grave,True,Commercial Air Transport,Ninguno,RI (Runway Incursion),Aterrizaje,Avión,False,BOEING,B-737-MAX-8,PS-GPN,Incidente grave,True,Commercial Air Transport,Ninguno,RI (Runway Incursion)
2024,11,30,15:40:00,Aeropuerto Gobernador Guzman (Jujuy),-24.392777777777777,-65.09777777777778,Rodaje a plataforma,Avión,False,BOEING,B-737-8HX,LV-KGN,Incidente,True,Commercial Air Transport,Ninguno,BIRD (Birdstrike),,,,,,,,,,,
2024,11,26,23:33:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.82222222222222,-58.53583333333333,Aproximación,Avión,False,AIRBUS,A-330-200,EC-MKJ,Incidente,True,Commercial Air Transport,Ninguno,BIRD (Birdstrike),,,,,,,,,,,
2024,11,25,19:30:00,Aeroclub Agrupación Aeromodelista Pucará (Buenos Aires),-34.73583333333333,-58.65555555555555,Crucero,Helicóptero,False,AGUSTA,A109E,LV-CLC,Incidente,True,Non-Commercial Operations,Ninguno,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,11,24,21:40:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.82361111111111,-58.528888888888886,Crucero,Avión,False,BOEING,B-767-300,C-FPIJ,Incidente,True,Commercial Air Transport,Leves,WSTRW (Windshear or thunderstorm),,,,,,,,,,,
2024,11,24,18:36:00,Aeródromo Mar Del Plata (Buenos Aires),-37.93416666666666,-57.57333333333334,Aterrizaje,Avión,False,TECNAM,Astore,LV-S016,Incidente,True,Non-Commercial Operations,Ninguno,OTHR (Other),,,,,,,,,,,
2024,11,20,03:15:00,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Rodaje a plataforma,Avión,False,CESSNA,550,LV-KFL,Incidente,True,Non-Commercial Operations,Ninguno,OTHR (Other),,,,,,,,,,,
2024,11,16,15:05:00,Zona rural Horco Molle (Tucuman),-26.796111111111117,-65.30944444444444,Aterrizaje,Avión,False,TECNAM,P-92,LV-S148,Accidente,True,Non-Commercial Operations,De importancia,"ARC (Abnormal runway contact), RE (Runway Excursion)",,,,,,,,,,,
2024,11,13,21:45:00,Localidad San Antonio De Areco (Buenos Aires),-34.18888888888888,-59.50361111111111,Crucero,Avión,False,BEECHCRAFT,G-36,LV-KDG,Incidente,True,Non-Commercial Operations,Ninguno,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,11,8,20:45:00,Zona rural Estancia El Tordillo (Buenos Aires),-36.6475,-61.52027777777778,Maniobras,Avión,False,CESSNA,C-188-B,LV-CBR,Accidente,True,Specialised Operations,Destruida,LOC-I (Loss of control - inflight),,,,,,,,,,,
2024,11,7,17:45:00,Localidad Colón (Buenos Aires),-33.92305555555555,-61.8,Rodaje a plataforma,Avión,False,AERO BOERO,AB-180-RVR,LV-AZI,Incidente,True,Non-Commercial Operations,De importancia,LOC-G (Loss of control -ground),,,,,,,,,,,
2024,11,4,18:20:00,Zona rural San Rafael (Mendoza),-34.17916666666667,-68.47416666666666,Crucero,Avión,False,CESSNA,150,LV-HCR,Incidente,True,Non-Commercial Operations,Ninguno,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,11,1,19:08:00,Aeropuerto Juan Domingo Perón - Neuquén (Sazn) (Neuquen),-38.94888888888889,-68.15583333333333,Rodaje a plataforma,Avión,False,CESSNA,C-172,LV-HPW,Accidente,True,Non-Commercial Operations,De importancia,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,10,31,20:05:00,Aeródromo Mar Del Plata (Buenos Aires),-38.0284366,-57.6472941,Aterrizaje,Avión,False,CESSNA,310-R,LV-MMX,Accidente,True,Non-Commercial Operations,De importancia,"SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",,,,,,,,,,,
2024,10,12,15:15:00,Aeródromo Bahia Blanca (Buenos Aires),-38.83416666666667,-62.08722222222222,Aproximación,Planeador,False,PZL,PW5,LV-ELY,Accidente,True,Non-Commercial Operations,Leves,USOS (Undershoot/overshoot),,,,,,,,,,,
2024,10,9,22:00:00,"Aeropuerto Carrasco (Montevideo, Uruguay)",-31.26305555555556,-56.239444444444445,Se desconoce,Avión,False,BEECHCRAFT,B-35,CX-MCB,Incidente grave,True,Unknown,Ninguno,desconocido,,,,,,,,,,,
2024,10,5,13:45:00,Aeródromo Tres Arroyos (Buenos Aires),-34.405833333333334,-60.29972222222222,Rodaje salida,Avión,False,PIPER,PA-34,LV-MIF,Accidente,True,Non-Commercial Operations,De importancia,"ADRM (Aerodrome), ATM (ATM/CNS)",,,,,,,,,,,
2024,9,26,01:00:00,Aeropuerto Juan Domingo Perón - Neuquén (Sazn) (Neuquen),-38.94888888888889,-68.15583333333333,Despegue,Avión,False,AIRBUS,A-320,LV-HVT,Incidente,True,Commercial Air Transport,Ninguno,BIRD (Birdstrike),,,,,,,,,,,
2024,9,25,23:50:00,Aeródromo El Palomar (Sadp) (Buenos Aires),-34.60888888888889,-58.61277777777778,Aterrizaje,Avión,False,TECNAM,P-92,LV-S114,Accidente,True,Non-Commercial Operations,Leves,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,9,23,20:51:00,Aeropuerto Aeroparque Jorge Newbery (Sabe) (Buenos Aires),-34.56194444444444,-58.41,Aterrizaje,Avión,False,BOEING,737-81D,LV-CXT,Incidente grave,True,Commercial Air Transport,Leves,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,9,21,18:05:00,Aeródromo Cañuelas (Buenos Aires),-35.117777777777775,-58.72638888888889,Aproximación,Planeador,False,PZL BIELSKO,SZD-48-1 JANTAR,LV-EIU,Accidente,True,Non-Commercial Operations,De importancia,CFIT (Controlled fligth into or toward terrain),,,,,,,,,,,
2024,9,16,13:35:00,Aeródromo Villa Gesell (Buenos Aires),-37.23527777777778,-57.02861111111111,Aterrizaje,Avión,False,TECNAM,P-2006,LV-JWA,Incidente,True,Non-Commercial Operations,Ninguno,OTHR (Other),,,,,,,,,,,
2024,9,4,21:15:00,Exterior Ruta Provincial 13 (Entre Colonia Baranda Y Resistencia) (Chaco),-27.57638888888889,-59.16416666666667,Crucero,Avión,False,CESSNA,182 G,LV-IIG,Incidente,True,Non-Commercial Operations,Ninguno,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,8,26,21:15:00,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Aterrizaje,Avión,False,CESSNA,C-182-N,LV-JDN,Incidente,True,Non-Commercial Operations,Ninguno,OTHR (Other),,,,,,,,,,,
2024,8,24,11:17:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.82222222222222,-58.53583333333333,Ascenso,Avión,False,BOEING,737-8U3,LV-KEF,Incidente,True,Commercial Air Transport,Leves,BIRD (Birdstrike),,,,,,,,,,,
2024,8,23,15:35:00,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Crucero,Avión,False,LEARJET,LJ-45,LV-GOM,Incidente,True,Non-Commercial Operations,Se desconoce,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,8,19,16:20:00,Zona rural Cerro Velasco (La Rioja),-29.572777777777777,-67.02305555555556,Maniobras,Avión,False,AIR TRACTOR,AT-802,LV-CGS,Accidente,True,Nationally Regulated Operations (State Operations),Se desconoce,LALT (Low altitude operations),,,,,,,,,,,
2024,8,18,00:07:00,Aeropuerto Tucumán (Tucuman),-26.83833333333333,-65.10444444444444,Crucero,Avión,False,BOEING,B737-8LP,LV-FWS,Incidente,True,Commercial Air Transport,Ninguno,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,8,17,11:45:00,Localidad Susana (Santa Fe),-31.383888888888887,-61.53611111111111,Crucero,Avión,False,LUSCOMBE,8-F,LV-FTI,Incidente,True,Non-Commercial Operations,Ninguno,UIMC (Unintended Flight in IMC),,,,,,,,,,,
2024,8,10,18:50:00,Aeródromo General Rodríguez (Buenos Aires),-34.68222222222222,-59.03472222222222,Aterrizaje,Experimental,True,FACIL FIGUERAS MAESTRI,ms 1/3,LV-X900,Accidente,True,Non-Commercial Operations,De importancia,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,8,9,14:47:00,Localidad Rosario (Santa Fe),-32.97277777777778,-60.723333333333336,Maniobras,Avión,False,CESSNA,152,LV-OJF,Accidente,True,Non-Commercial Operations,Destruida,SEC (Security Related),,,,,,,,,,,
2024,8,7,20:30:00,Aeródromo Chapelco (Neuquen),-40.21944444444445,-71.29222222222222,Crucero,Avión,False,CESSNA,182 G,LV-IHU,Accidente,True,Non-Commercial Operations,De importancia,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,8,4,16:15:00,Localidad Argerich (Buenos Aires),-38.78333333333333,-62.59166666666667,Crucero,Avión,False,CESSNA,C-150-M,LV-CYB,Accidente,True,Non-Commercial Operations,De importancia,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,8,2,13:30:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.81777777777778,-58.53694444444445,Rodaje salida,Avión,False,PIPER,PA-46-350-P,LV-JVZ,Incidente,True,Non-Commercial Operations,Ninguno,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,7,24,19:00:00,Aeródromo Bragado (Buenos Aires),-35.14555555555555,-60.48,Rodaje salida,Avión,False,PIPER,PA-11-C,LV-RXM,Incidente,True,Non-Commercial Operations,Leves,GCOL (Ground Collision),,,,,,,,,,,
2024,7,21,15:37:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.81722222222223,-58.53861111111111,Se desconoce,Avión,False,BOEING,B-787,PH-BHA,Incidente,True,Commercial Air Transport,Leves,OTHR (Other),,,,,,,,,,,
2024,7,16,00:50:00,Aeropuerto Río Cuarto - (Saoc) (Cordoba),-33.092222222222226,-64.26944444444445,Ascenso,Avión,False,CESSNA,152,LV-IQV,Incidente grave,True,Non-Commercial Operations,Ninguno,F-NI (Fire/smoke non-impact),,,,,,,,,,,
2024,7,13,16:30:00,Localidad Balcarce (Buenos Aires),-37.8464435,-58.2555452,Se desconoce,Avión,False,CESSNA,C-172-B,LV-IDW,Accidente,True,Non-Commercial Operations,Destruida,"SCF-NP (System/component failure or malfunction (No Powerplant), F-NI (Fire/smoke non-impact)",,,,,,,,,,,
2024,7,10,21:30:00,Aeropuerto Chapelco - San Martin (Sazy) (Neuquen),-40.07527777777778,-71.13722222222223,Aterrizaje,Avión,False,AERO BOERO,AB-115,LV-JHJ,Accidente,True,Non-Commercial Operations,De importancia,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,7,10,15:00:00,Aeródromo Nahuel Huapi (Rio Negro),-42.105555555555554,-71.16083333333334,Ascenso,Avión,True,Baloo,Baloo,LV-X226,Incidente grave,True,Non-Commercial Operations,Leves,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,7,7,20:15:00,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Aterrizaje,Avión,False,CIRRUS,SR-22,LV-IUU,Incidente,True,Non-Commercial Operations,Ninguno,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,6,29,19:00:00,Exterior Cerro Plataforma (Chubut),-42.35722222222223,-71.81083333333333,Se desconoce,Avión,False,PIPER,PA-18,LV-GBY,Accidente,True,Non-Commercial Operations,De importancia,AMAN (Abrupt Maneuvre),,,,,,,,,,,
2024,6,21,13:00:00,Aeródromo La Puntilla (Mendoza),-32.95888888888889,-68.8711111111111,Despegue,Avión,False,TECNAM,P-2002,LV-S025,Accidente,True,Non-Commercial Operations,Destruida,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,6,20,15:47:00,Exterior Próximo A La Posición Kotni A 165 Kilómetros Al Sur De La Ciudad De Mendoza (Mendoza),-34.288888888888884,-69.03944444444444,Ascenso,Avión,False,BOEING,787-9,PH-BHE,Incidente,True,Commercial Air Transport,Se desconoce,TURB (Turbulence Encounter),,,,,,,,,,,
2024,6,20,11:50:00,Aeropuerto Bariloche (Rio Negro),-41.145833333333336,-71.17222222222223,Aterrizaje,Avión,False,BOEING,B-737,LV-KAY,Incidente grave,True,Commercial Air Transport,Ninguno,RE (Runway Excursion),,,,,,,,,,,
2024,6,18,15:50:00,Aeródromo Santa Rosa (Sazr) (La Pampa),-36.58805555555556,-64.27555555555556,Aterrizaje,Avión,False,PIPER,PA-31-350,LV-BYU,Incidente,True,Specialised Operations,Leves,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
2024,6,13,19:00:00,Localidad Rawson (Chubut),-43.156666666666666,-64.77777777777777,Crucero,Avión,False,CESSNA,R-172-K,LV-OIR,Incidente,True,Non-Commercial Operations,Ninguno,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,6,12,19:00:00,Localidad Toledo (Cordoba),-31.529166666666665,-64.04472222222222,Crucero,Avión,False,CESSNA,C-150-G,LV-CGN,Incidente,True,Non-Commercial Operations,Ninguno,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,
2024,6,10,01:24:00,Aeropuerto Islas Malvinas - Rosario (Saar) (Santa Fe),-32.9013031,-60.7783281,Crucero,Avión,False,EMBRAER,E-190,LV-CEV,Incidente,True,Commercial Air Transport,Ninguno,MAC (Airprox/ACAS alert/loss of separation/ midair collision),,,,,,,,,,,
2024,6,8,20:49:00,Aeródromo Parana (Entre Rios),-31.75777777777778,-60.37277777777778,Maniobras,Avión,False,EXTRA,EA300/SC,LV-IUX,Accidente,True,Non-Commercial Operations,Destruida,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,
2024,6,7,21:55:00,Aeropuerto Río Gallegos (Santa Cruz),-51.60888888888889,-69.31277777777777,Despegue,Avión,False,FAIRCHILD,SA-227-AC,LV-VDJ,Accidente,True,Commercial Air Transport,De importancia,RE (Runway Excursion),,,,,,,,,,,
2024,6,1,09:20:00,Aeropuerto Ministro Pistarini -Ezeiza (Saez) (Buenos Aires),-34.82222222222222,-58.53583333333333,Ascenso,Avión,False,BOEING,B737-8SH,LV-FVN,Incidente,True,Commercial Air Transport,Ninguno,"UNK (Unknown o undetermined), SCF-NP (System/component failure or malfunction (No Powerplant)",,,,,,,,,,,
2024,5,21,15:50:00,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Aterrizaje,Avión,False,PIPER,PA-28,LV-WTR,Incidente,True,Non-Commercial Operations,Leves,BIRD (Birdstrike),,,,,,,,,,,
2024,5,20,20:25:00,Localidad Berazategui (Buenos Aires),-34.7825,-58.109722222222224,Crucero,Helicóptero,False,ROBINSON,R-22,LV-RLA,Accidente,True,Non-Commercial Operations,De importancia,"ARC (Abnormal runway contact), SCF-PP (Powerplant failure or malfunction)",,,,,,,,,,,
2024,5,18,15:05:00,Aeropuerto General Pico  (Sazg) (La Pampa),-35.69583333333333,-63.75833333333333,Estacionado,Avión,False,CESSNA,C-188,LV-BGT,Accidente,True,Specialised Operations,De importancia,GCOL (Ground Collision),Rodaje salida,Avión,False,PIPER,PA-28,LV-ODF,Accidente,True,Non-Commercial Operations,De importancia,GCOL (Ground Collision)
2024,5,11,15:50:00,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Rodaje salida,Avión,False,CESSNA,C-182-J,LV-IXB,Incidente,True,Non-Commercial Operations,Ninguno,OTHR (Other),,,,,,,,,,,
2024,4,25,14:30:00,Aeródromo Círculo De Aviación Rosario (Santa Fe),-33.08166666666667,-60.56472222222222,Aterrizaje,Helicóptero,True,FAMA,KISS 216MF,S/M,Accidente,True,Non-Commercial Operations,De importancia,LOC-I (Loss of control - inflight),,,,,,,,,,,
2024,4,24,17:55:00,Aeropuerto Aeroparque Jorge Newbery (Sabe) (Buenos Aires),-34.5594554,-58.4143637,Aproximación,Avión,False,EMBRAER,E-190,LV-CET,Intervención,False,Commercial Air Transport,Ninguno,MAC (Airprox/ACAS alert/loss of separation/ midair collision),,,,,,,,,,,
2024,4,23,13:36:00,Aeropuerto General Martin Miguel De Güemes (Salta),-24.859722222222224,-65.48694444444445,Crucero,Avión,False,EMBRAER,ERJ190100IGW,LV-CEV,Incidente,True,Commercial Air Transport,Ninguno,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,
